id_cliente,lineaprod,canal,ticket,Estrato,Sexo,Edad,EstadoCivil,Educacion,ActividadEconomica,Tipovivienda,Recomienda,rango_antiguedad,frecuencia_mes
00cb8ad6a0f7214d002e3ded6b7c9b80,Mercado,e-commerce,378645,1-2,Masculino,Menor a 25,Soltero/a,Profesional,Hogar,Alquilada,Neutro,250+,3
00cb8ad6a0f7214d002e3ded6b7c9b80,Mercado,tienda,84133.33333,1-2,Masculino,Menor a 25,Soltero/a,Profesional,Hogar,Alquilada,Neutro,72 - 158,2
00cb8ad6a0f7214d002e3ded6b7de012,Delikatessen,e-commerce,86196.66667,3-4,Masculino,Menor a 25,Soltero/a,Técnico,Hogar,Alquilada,No recomienda,250+,3
00cb8ad6a0f7214d002e3ded6b7de012,Farmacia,e-commerce,84520,3-4,Masculino,Menor a 25,Soltero/a,Técnico,Hogar,Alquilada,No recomienda,250+,4
00cb8ad6a0f7214d002e3ded6b7eb91b,Farmacia,tienda,157160,3-4,Masculino,Menor a 25,Separado/a,Profesional,Hogar,Alquilada,Neutro,250+,1
0194b4a5c9e41bfd35f9168423fa2857,Mercado,e-commerce,104640,3-4,Masculino,Menor a 25,Casado/a,Profesional,Hogar,Alquilada,Recomienda,250+,4
0194b4a5c9e41bfd35f9168423fa2857,Mercado,tienda,111488.5714,3-4,Masculino,Menor a 25,Casado/a,Profesional,Hogar,Alquilada,Recomienda,250+,4
0221e01fd79a9e76808595048df20efd,Farmacia,e-commerce,173210,1-2,Masculino,Entre  26 y 45,Soltero/a,Profesional,Hogar,Alquilada,Neutro,250+,4
0221e01fd79a9e76808595048df20efd,Farmacia,tienda,82781.81818,1-2,Masculino,Entre  26 y 45,Soltero/a,Profesional,Hogar,Alquilada,Neutro,250+,4
0234eb5f7e99d581c72052f0a869293a,Delikatessen,tienda,143800,3-4,Femenino,Entre  26 y 45,Soltero/a,Profesional,Hogar,Alquilada,Recomienda,159 - 249,1
0234eb5f7e99d581c72052f0a86abaee,Farmacia,e-commerce,204583.3333,0,Masculino,Menor a 25,Soltero/a,Profesional,Hogar,Familiar,Recomienda,159 - 249,4
